date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Feb 06 2021, Credit and Collections Analyst,,Current Employee ,Great Company,0,"Work from home. Amazing culture and leadership.
","none amazing role and company
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Product Analyst,"Los Angeles, CA",Current Employee ,Good place to work,0,"Benefits. Pay, Worklife balance,Work environment, people
","Politics, hierarchy, work in silos, speed, mobility
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, PhotoPass Photographer,"Orlando, FL",Former Employee ,Good benefits,0,"Medical insurance was affordable, free entry into parks, other nice perks
","Long hours and schedule was never the same
Helpfu",,5.0,3.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Guest Relations,,Former Employee ,Great place to work,1,"Its the happiest place on earth
","Nothing. I have no feedback.
Advice to Management
Keep up the great work
Helpful (1","Keep up the great work
",5.0,,,,,,,,
Wed Feb 03 2021, MBA Student,"Salisbury, MD",Former Employee ,Disney College Program Intern,0,"Amazing internship opportunity for college students.
","No job location preference at the resort.
Advice to Management
n/A
Helpfu","n/A
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Chef,"Kissimmee, FL",Former Employee ,Fun but strict,0,"Fun 
Benefits
Training 
Professional and 
Educational
","Draining 
Overly strict 
Complicated 
Demanding 
Time consuming
Helpfu",,5.0,2.0,4.0,4.0,3.0,5.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Media Specialist,"Atlanta, GA",Former Employee ,Media Specialist,0,"Insurance and free Disney passes as well as discount at Disney stores.
","No room for growth in department. Salary raise was standard
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Merchandiser,"Orlando, FL",Former Employee ,Disney,0,"Fun company to work for. Lots of good benefits
","The pay was not great.
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Server/Waiter,"Orlando, FL",Former Employee ,Awesome place,0,"Good hours, benefits, salary, work-life balance
","They lay you off in an economic crisis instead of holding your spot and keeping your tickets active
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Account Manager,"Seattle, WA",Current Employee ,Good vibes.,1,"Very positive work environment. People here are selected because they work hard and want to be team players. Very few trouble makers and backstabbers make it through the hiring screen.

World wide network of opportunities.
","A lot of your salary might be tied up in benefits you don’t use.

Very PC culture, which is more positive than negative and is expected of course but for those who speak before they think try and be careful with what you say regarding culturally sensitive issues.
Advice to Management
Keep up the good work!
Helpful (1","Keep up the good work!
",5.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Media Specialist,"Atlanta, GA",Former Employee ,Media Specialist,0,"Insurance and free Disney passes as well as discount at Disney stores.
","No room for growth in department. Salary raise was standard
Helpfu",,5.0,,,,,,,,
Sat Jan 30 2021, Server/Waiter,"Kapolei, HI",Former Employee ,Great company,0,"Great benefits package that exceeds other companies
","Getting holidays off is impossible
Helpfu",,5.0,,,,,,,,
Tue Jan 26 2021, Account Executive,,Former Employee ,Great Company,1,"Good product for business owners nationwide
","Bad ownership caused company to shut down
Helpful (1",,5.0,,,,,,,,
Fri Jan 29 2021, Retail Sales Associate,"Los Angeles, CA",Current Employee ,great,0,"friendly cars reliable nice stress free
","far long hours this is a
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Proposal Writer,"Orlando, FL",Former Employee ,Great Company,0,"Great culture with tremendous opportunity for creativity.
","Only downside was being one of the 28,000 laid off.
Advice to Management
Hire back Cast Members whenever you can.
Helpfu","Hire back Cast Members whenever you can.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,
Fri Jan 29 2021, Manager,"Aliso Viejo, CA",Former Employee ,Amazing Experiences with this Company!,0,"Creativity, organization, structure, great team and amazing benefits.
","I wish there were positions open here in California that I could of transferred to; however with the pandemic I completely understand.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Coordinator,"New York, NY",Current Employee ,Great company,0,"There's unlimited opportunities within the company.
","A lot competition for top company positions.
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Thu Jan 28 2021, Tech Recruiter,"Burbank, CA",Former Employee ,Great company,0,"Great company to work for
","None that I can think of
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Assistant Graphic Designer,"Orlando, FL",Current Employee ,Amazing company all around,0,"The co-workers feel like family, and really have your future best interest at heart. You truly will not find a more magical company to work for!
","Some things about the company can feel very Corporate at times. But it can't always be magical fun every day.
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Cashier,"Anaheim, CA",Former Employee ,Awesome,0,"Free admission for employees all year
","People are rude, super busy
Advice to Management
N/A
Helpfu","N/A
Helpfu",5.0,,,,,,,,
Wed Jan 27 2021, Ride Service Associate,,Former Employee ,Great,0,"Fun working environment and lots of oppotunity
","Nothing, great company to work for
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021,Anonymous,"Anaheim, CA",Former Employee ,Lifeguard,0,"Great hours and made long lasting friends
","Management is difficult and getting time off is hard
Helpfu",,5.0,3.0,5.0,5.0,4.0,5.0,,,
Tue Jan 26 2021, Training Specialist,"Orlando, FL",Former Employee ,Human Resources,0,"The Cast Members have many opportunities for learning and growth within the company, in addition to great benefits and discounts.
","I have no complaints at all.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Guest Services,"Orlando, FL",Former Employee ,Company cares for its team,0,"This company has many benefits for its employees and this goes beyond the usual health care and financial benefits. They offer support to cast members with family issues, recreational and community support. This is more than a lot of other companies offer at any time.
","The only con would be that if you are full time, you are required to be committed to what is requested if it may be over a regular schedule, but this is something that is fully explained when you are interviewed.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Tue Jan 26 2021, Marketing Director,"Los Angeles, CA",Former Employee ,Love it,0,"Great people, great pay. Yay
","Sometimes stressful but overall ok
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Health &Amp; Safety Manager,"Burbank, CA",Former Employee ,Covid Safety,0,"Good pay; somewhat flexible hours
","Benefits; no career progression; too many managers on one show
Advice to Management
Make the tv side similar to the movie side. Allow HSM to do safety on their show
Helpfu","Make the tv side similar to the movie side. Allow HSM to do safety on their show
Helpfu",5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Associate,"Los Angeles, CA",Current Employee ,Great company,0,"challenging and empowering work environment
","none - it's overall a great company
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Seasonal Cast Member,,Former Employee ,Fake,0,"Everything is super working there
","Nothing is wrong with it
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Photographer,,Former Employee ,Happiest Place to Work At,0,"Great place to work and grow into a carer
","Totally high school and annoying teenager
Helpfu",,5.0,,,,,,,,
Sun Jan 24 2021, Manager,,Current Employee ,Love it! Great benefits but no flexibility in location,0,"Proud of the work you do since the brand is so loved
","Amazing place to work but aren’t allowed to work from home often if ever outside of COVID
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Photographer,,Former Employee ,Happiest Place to Work At,0,"Great place to work and grow into a carer
","Totally high school and annoying teenager
Helpfu",,5.0,,,,,,,,
Sun Jan 24 2021, Manager,,Current Employee ,Love it! Great benefits but no flexibility in location,0,"Proud of the work you do since the brand is so loved
","Amazing place to work but aren’t allowed to work from home often if ever outside of COVID
Helpfu",,5.0,,,,,,,,
Sun Jan 24 2021, Cast Member,,Current Employee ,salary,0,"great benefits feels like family
","there is lack of hours
Helpfu",,5.0,,,,,,,,
Sat Jan 23 2021, Analyst,"Austin, TX",Former Employee ,Great,0,"benefits, pay, location, friends, work
","people, pay, location, hours, office
Helpfu",,5.0,4.0,4.0,4.0,4.0,4.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
