date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Aug 17 2020, Product Validation Engineer,,Current Employee ,good company,0,"Cummins is a good company. Work-life balance is good.
","There are no cons I have experienced yet.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Software Engineer,"Nashville, TN",Current Employee ,Great place to work,0,"People and leaders are really nice to work with.
","Pay and no career growth or job shadowing opportunities.
Advice to Management
Increase pay to retain talent and more opportunities for careers.
Helpfu","Increase pay to retain talent and more opportunities for careers.
Helpfu",5.0,5.0,5.0,2.0,1.0,3.0,Recommends,Positive Outlook,
Mon Feb 08 2021, Quality Engineer,,Current Employee ,Work,0,"Good work culture, work life balance
","Location is not greae for young people
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Technician,"Columbus, IN",Current Employee ,Good company,0,"Good company to work for
","The benefits are becoming less every year.
Helpfu",,4.0,,,,,,,,
Sun Feb 07 2021, Human Resources,"Columbus, IN",Current Employee ,Great Development,0,"Have had a lot of great development experiences in my work and supported by a strong mentor. I’ve also been encouraged to follow my career interests.
","Frequent manager changes and org changes can make it stressful to navigate uncertainty.
Helpfu",,4.0,4.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Manufacturing Engineer,"Memphis, TN",Current Employee ,Good experience,0,"Gain more knowledge if you really work
","Too much work if you do bot know how to manage
Helpfu",,4.0,3.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Strategics Sourcing Manager,"Indianapolis, IN",Current Employee ,Overall a good company to stay till retirement,0,"Stable business
Job rotation opportunities
Diversity and inclusive culture
Work life balance
","Culture is changing
Relationship driven instead of performance driven
Helpfu",,4.0,5.0,3.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Sat Feb 06 2021, Diesel Mechanic,"Augusta, GA",Former Employee ,Cummins,0,"New shop, clean and well maintained.
","Poor communication with management team.
Advice to Management
Respect and value your employees.
Helpfu","Respect and value your employees.
Helpfu",4.0,4.0,3.0,5.0,3.0,4.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Fri Feb 05 2021, Research Engineer,"Columbus, IN",Current Employee ,Excellent place to work,0,"Cummins has an excellent work culture. The leadership and management are nice, and this attitude trickles down to the employees also. They genuinely care about the professional as well as personal development of the employees. Highly diverse work force.
","Located in Columbus IN, which, although a nice place, is isolated from urban areas. It could even be a pro depending on what you want.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Engineer,,Former Employee ,Nice company,0,"Supportive people, innovative mentality, and good HR
","Not agile enough in corporate structure
Helpfu",,4.0,4.0,5.0,5.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Wed Feb 03 2021, Project Manager,"Washington, DC",Former Employee ,Excellent,0,"Good benefits and culture with potential for advancement.
","None to mention, everything was great.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
