date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Jan 09 2021, BAM,,Current Employee ,Nice,0,"Good company to work for
","I like working here you might to
Helpfu",,5.0,3.0,5.0,5.0,5.0,4.0,,,
Sun Feb 07 2021, CRM Manager,,Current Employee ,Great company to build a long term career,0,"Higher compensation, well covered benefits. Room for growth.
","Antiquated work from home policies
Helpfu",,5.0,3.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Smts,"Piscataway, NJ",Former Employee ,Good company to work for IT employees,0,"Excellent place to work with .
","Nothing to say anything bad about company , I enjoyed working with Verizon.
Advice to Management
Take care for good talent .
Helpfu","Take care for good talent .
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Indirect Account Manager,"Grand Rapids, MI",Current Employee ,"They are a Great Company to work for, but built to downsize.",0,"They try as best they can to take care of the employees.
","This company is built to downsize.
Advice to Management
I have nothing bad to say until the end. Being a socially responsible company and standing up for publicly positive viewpoints is important; but so is taking care of those who helped build the company to what it is today. Find new job placement for your people vs mass lay-offs. Warn them and train them and show Verizon to be a place that doesn't abandon their people when times get hard but they walk the line with them into the red, and make sure the public knows it. Don't hide the red wedding lay-offs behind restructures and realignments, it cheapens what we helped build.
Helpfu","I have nothing bad to say until the end. Being a socially responsible company and standing up for publicly positive viewpoints is important; but so is taking care of those who helped build the company to what it is today. Find new job placement for your people vs mass lay-offs. Warn them and train them and show Verizon to be a place that doesn't abandon their people when times get hard but they walk the line with them into the red, and make sure the public knows it. Don't hide the red wedding lay-offs behind restructures and realignments, it cheapens what we helped build.
Helpfu",5.0,5.0,5.0,5.0,3.0,5.0,Recommends,Negative Outlook,Approves of CEO
Thu Feb 04 2021, Senior Partnership Manager,,Current Employee ,Good company,0,"Work life balance, benefits, stable
","Growth, inter dept politics, stagnation
Helpfu",,5.0,5.0,4.0,4.0,3.0,3.0,,,
Thu Feb 04 2021, Software Engineer,"San Diego, CA",Current Employee ,NAAAA,0,"Good culture, teamwork, and work-life balance
","Career growth slower than expected.
Helpfu",,5.0,5.0,4.0,5.0,3.0,4.0,,,
Fri Feb 05 2021, Manager Program/Project Management,,Current Employee ,Great Company,0,"Fast Paced, access to cutting edge technology
","Too large at times and capable of being Agile
Advice to Management
Adopt results over documentation
Helpfu","Adopt results over documentation
Helpfu",5.0,3.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Fri Feb 05 2021, Product Manager,"Alpharetta, GA",Current Employee ,I love where Verizon is going,0,"Leadership is improving on their communication and are aligning their KPIs
","Big companies are always a struggle, but I really enjoy working for Verizon
Helpfu",,5.0,4.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, General Manager,"Tampa, FL",Current Employee ,General Manager,0,"Verizon offers amazing benefits and 401k
","Commission structure often changes and becomes more challenging to meet
Helpfu",,5.0,5.0,5.0,5.0,4.0,,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, General Manager,"Tampa, FL",Current Employee ,General Manager,0,"Verizon offers amazing benefits and 401k
","Commission structure often changes and becomes more challenging to meet
Helpfu",,5.0,5.0,5.0,5.0,4.0,,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Solutions Specialist,,Current Employee ,Quality Opportunity for Part-Time,0,"solid pay and benefits even for part time
","It is a sales position but you more often troubleshoot devices, bills or explain basic tech rather than sell it
Advice to Management
It's a large company so there are policies from above that interfere with operations in a retail store. Some ideas are better left back at the desk if they make store transactions or experiences longer or worse for the customer.
Helpfu","It's a large company so there are policies from above that interfere with operations in a retail store. Some ideas are better left back at the desk if they make store transactions or experiences longer or worse for the customer.
Helpfu",5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Solutions Specialist,,Former Employee ,Solutions Specialist,0,"Staff, culture, coffee in break room, everything.
","New commission team structure doesn’t really pay as it used to.
Advice to Management
Hire less lazy ppl.
Helpfu","Hire less lazy ppl.
Helpfu",5.0,5.0,5.0,5.0,4.0,3.0,,,
Thu Feb 04 2021, MTS,"Atlanta, GA",Current Employee ,stable company,0,"benefits are good, health insurance is good
","no work life balance whatsoever
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Sales Specialist,"Andover, MA",Current Employee ,Good place to work,0,"Good pay. Great benefits. Opportunity for Advancement. Solid products.
","Processes are a lot to learn at first but plenty of people willing to help
Advice to Management
Stay the course on top priorities
Helpfu","Stay the course on top priorities
Helpfu",5.0,4.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, QA Automation Engineer,"Ashburn, VA",Current Employee ,Good stress free,0,"Good working stress-free environment at workplace
","no major cons at this company
Helpfu",,4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Sales Manager,,Current Employee ,Great company,0,"Company values, team environment, pay and benefits
","Work life balance, long shifts
Helpfu",,4.0,,,,,,Recommends,Positive Outlook,Approves of CEO
